serialNumber,category,brand,model,schoolCode,status,specifications,condition
TAB-159751368,Tablet,Huawei,iPad 9th Gen,,Available,"10.1 inch Display, 64GB Storage",New
LAP-159752774,Laptop,Acer,ThinkPad E14,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-159753813,Tablet,Samsung,iPad 9th Gen,,Available,"10.1 inch Display, 64GB Storage",New
LAP-159754197,Laptop,HP,Aspire 5,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
TAB-159755213,Tablet,Samsung,Galaxy Tab A8,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-159756829,Tablet,Apple,iPad 9th Gen,,Maintenance,"13.3 inch Display, 128GB Storage",Fair
OTH-159757606,Others,Brother,LaserJet Pro,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-159758748,Projector,ViewSonic,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-159759760,Tablet,Apple,MatePad,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-159760776,Others,HP,Webcam C920,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-159761331,Laptop,Acer,Aspire 5,,Available,"13.3 inch Display, 128GB Storage",Good
DES-159762449,Desktop,Lenovo,Veriton M,,Available,"3000 Lumens, HDMI, VGA",Fair
PRO-159763874,Projector,Optoma,PA503W,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
LAP-159764770,Laptop,Dell,ProBook 450,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
OTH-159765904,Others,Logitech,LaserJet Pro,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
PRO-159766983,Projector,ViewSonic,PA503W,,Maintenance,"4000 Lumens, Wireless",Fair
TAB-159867570,Tablet,Lenovo,Tab M10,,Maintenance,"Network Ready, Duplex Printing",Good
OTH-159868015,Others,Logitech,DCP-L2550DW,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
TAB-159869909,Tablet,Huawei,Galaxy Tab A8,,Available,"4000 Lumens, Wireless",New
DES-159870355,Desktop,Acer,OptiPlex 3080,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
PRO-159871688,Projector,Epson,PA503W,,Maintenance,"4000 Lumens, Wireless",New
OTH-159872195,Others,Brother,LaserJet Pro,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-159873128,Others,Logitech,Printer MF445dw,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-159874630,Projector,ViewSonic,EB-X05,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
DES-159875864,Desktop,HP,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",New
TAB-159876951,Tablet,Apple,MatePad,,Available,"4000 Lumens, Wireless",Good
OTH-159877121,Others,Brother,LaserJet Pro,,Available,"13.3 inch Display, 128GB Storage",New
DES-159878225,Desktop,Acer,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",New
OTH-159879546,Others,Logitech,Printer MF445dw,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-159880649,Desktop,Acer,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",Fair
LAP-159881658,Laptop,Lenovo,VivoBook 15,,Available,"10.1 inch Display, 64GB Storage",Good
LAP-159882984,Laptop,Dell,Aspire 5,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
OTH-159883830,Others,Brother,DCP-L2550DW,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-159884913,Others,Brother,DCP-L2550DW,,Available,"3000 Lumens, HDMI, VGA",Fair
DES-159885563,Desktop,Dell,OptiPlex 3080,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
OTH-159886887,Others,Canon,Webcam C920,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
OTH-159887651,Others,Canon,LaserJet Pro,,Maintenance,"13.3 inch Display, 128GB Storage",New
DES-159888935,Desktop,Acer,EliteDesk 800,,Maintenance,"13.3 inch Display, 128GB Storage",New
DES-159889479,Desktop,Acer,EliteDesk 800,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-159890040,Others,Logitech,LaserJet Pro,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
DES-159891859,Desktop,Dell,EliteDesk 800,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-159892675,Projector,Optoma,PA503W,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
TAB-159893850,Tablet,Lenovo,MatePad,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-159894284,Desktop,Dell,EliteDesk 800,,Maintenance,"Network Ready, Duplex Printing",Good
TAB-159895926,Tablet,Huawei,MatePad,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-159896895,Projector,ViewSonic,EB-X05,,Maintenance,"10.1 inch Display, 64GB Storage",New
LAP-159897798,Laptop,HP,ThinkPad E14,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Good
TAB-159898900,Tablet,Apple,MatePad,,Maintenance,"Network Ready, Duplex Printing",Fair
LAP-159899170,Laptop,Acer,ProBook 450,,Available,"3000 Lumens, HDMI, VGA",Good
LAP-598100414,Laptop,ASUS,VivoBook 15,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
DES-598101948,Desktop,Acer,EliteDesk 800,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-598102628,Others,Canon,Printer MF445dw,,Available,"3000 Lumens, HDMI, VGA",Good
LAP-598103889,Laptop,HP,VivoBook 15,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-598104173,Others,Brother,Webcam C920,,Maintenance,"4000 Lumens, Wireless",New
DES-598105603,Desktop,Dell,OptiPlex 3080,,Maintenance,"10.1 inch Display, 64GB Storage",Good
LAP-598106789,Laptop,Acer,ThinkPad E14,,Maintenance,"Network Ready, Duplex Printing",New
LAP-598107248,Laptop,Acer,ThinkPad E14,,Available,"4000 Lumens, Wireless",Good
DES-598108176,Desktop,Dell,EliteDesk 800,,Maintenance,"Network Ready, Duplex Printing",New
DES-598109165,Desktop,Dell,EliteDesk 800,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
OTH-598110973,Others,HP,DCP-L2550DW,,Available,"13.3 inch Display, 128GB Storage",Good
OTH-598111169,Others,Brother,Printer MF445dw,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
TAB-598112186,Tablet,Lenovo,MatePad,,Available,"Network Ready, Duplex Printing",Fair
PRO-598113385,Projector,Optoma,PA503W,,Maintenance,"13.3 inch Display, 128GB Storage",New
LAP-598114951,Laptop,Dell,ProBook 450,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-598115939,Laptop,Acer,Aspire 5,,Available,"3000 Lumens, HDMI, VGA",Good
DES-598116206,Desktop,Lenovo,OptiPlex 3080,,Available,"13.3 inch Display, 128GB Storage",New
DES-598117518,Desktop,Dell,OptiPlex 3080,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
OTH-598118018,Others,HP,DCP-L2550DW,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
LAP-598119323,Laptop,HP,Latitude 3520,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-598120988,Tablet,Huawei,Galaxy Tab A8,,Available,"4000 Lumens, Wireless",Fair
PRO-598121077,Projector,BenQ,MH550,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
DES-598122768,Desktop,HP,Veriton M,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-598123446,Laptop,Lenovo,ProBook 450,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-598124400,Tablet,Apple,Tab M10,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
PRO-598125495,Projector,ViewSonic,EB-X05,,Maintenance,"13.3 inch Display, 128GB Storage",Good
TAB-598126877,Tablet,Lenovo,iPad 9th Gen,,Maintenance,"3000 Lumens, HDMI, VGA",Good
DES-598127633,Desktop,Dell,EliteDesk 800,,Available,"Network Ready, Duplex Printing",New
DES-598128240,Desktop,Dell,Veriton M,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
OTH-598129897,Others,Brother,Webcam C920,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
OTH-598130944,Others,Brother,Printer MF445dw,,Maintenance,"10.1 inch Display, 64GB Storage",New
DES-598131236,Desktop,Lenovo,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",Good
TAB-598132673,Tablet,Samsung,Tab M10,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
DES-598133320,Desktop,Dell,Veriton M,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
TAB-598134752,Tablet,Apple,Galaxy Tab A8,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-598135818,Others,Logitech,LaserJet Pro,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-598136174,Others,Canon,Printer MF445dw,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-598137990,Laptop,Dell,ProBook 450,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
OTH-598138472,Others,Canon,Webcam C920,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
LAP-598139266,Laptop,Dell,VivoBook 15,,Available,"13.3 inch Display, 128GB Storage",Good
LAP-598140277,Laptop,HP,ProBook 450,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Fair
TAB-598141246,Tablet,Apple,MatePad,,Available,"4000 Lumens, Wireless",Good
LAP-598142022,Laptop,Acer,Latitude 3520,,Maintenance,"13.3 inch Display, 128GB Storage",Good
LAP-598143625,Laptop,Dell,ProBook 450,,Maintenance,"10.1 inch Display, 64GB Storage",Good
OTH-598144777,Others,Canon,Webcam C920,,Available,"4GB RAM, 128GB SSD, Intel Core i3",New
PRO-598145325,Projector,BenQ,EB-X05,,Available,"13.3 inch Display, 128GB Storage",New
PRO-598146306,Projector,Optoma,HD146X,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-598147630,Others,Canon,LaserJet Pro,,Available,"Network Ready, Duplex Printing",Fair
PRO-598148091,Projector,Epson,EB-X05,,Maintenance,"13.3 inch Display, 128GB Storage",Good
DES-598149765,Desktop,Lenovo,EliteDesk 800,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
TAB-598150884,Tablet,Samsung,MatePad,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-598151389,Laptop,ASUS,Latitude 3520,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
OTH-598152960,Others,Logitech,Webcam C920,,Available,"10.1 inch Display, 64GB Storage",Fair
LAP-598153413,Laptop,Acer,Latitude 3520,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
TAB-598154680,Tablet,Apple,Galaxy Tab A8,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-598155842,Others,Brother,Webcam C920,,Available,"Network Ready, Duplex Printing",New
TAB-598156563,Tablet,Apple,MatePad,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-598157607,Desktop,Acer,EliteDesk 800,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-598158676,Others,Brother,Webcam C920,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
OTH-598159381,Others,Brother,Printer MF445dw,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-598160828,Others,Logitech,DCP-L2550DW,,Available,"3000 Lumens, HDMI, VGA",New
LAP-598161932,Laptop,Lenovo,Latitude 3520,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-598162101,Tablet,Samsung,Tab M10,,Available,"10.1 inch Display, 64GB Storage",Fair
PRO-598163425,Projector,ViewSonic,EB-X05,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
DES-598164170,Desktop,Dell,ThinkCentre M720,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
PRO-598165782,Projector,ViewSonic,HD146X,,Maintenance,"13.3 inch Display, 128GB Storage",Good
DES-598166420,Desktop,Lenovo,Veriton M,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-598167540,Tablet,Lenovo,iPad 9th Gen,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
TAB-598168452,Tablet,Huawei,Galaxy Tab A8,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
DES-598169355,Desktop,Acer,Veriton M,,Available,"13.3 inch Display, 128GB Storage",Good
PRO-598170377,Projector,BenQ,PA503W,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
PRO-598171137,Projector,BenQ,PA503W,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
DES-598172099,Desktop,HP,OptiPlex 3080,,Available,"Network Ready, Duplex Printing",Good
DES-598173907,Desktop,HP,OptiPlex 3080,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
LAP-598174474,Laptop,HP,Latitude 3520,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
PRO-598175958,Projector,Epson,EB-X05,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-598176846,Projector,Epson,PA503W,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-598177269,Laptop,HP,Aspire 5,,Maintenance,"3000 Lumens, HDMI, VGA",New
OTH-598178595,Others,Brother,DCP-L2550DW,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
PRO-598179955,Projector,BenQ,PA503W,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-598180807,Desktop,Acer,Veriton M,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
PRO-598181159,Projector,Optoma,HD146X,,Available,"Network Ready, Duplex Printing",Fair
LAP-598182059,Laptop,ASUS,ThinkPad E14,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
PRO-598183361,Projector,Optoma,EB-X05,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
LAP-598184214,Laptop,HP,VivoBook 15,,Available,"Network Ready, Duplex Printing",New
LAP-598185179,Laptop,Lenovo,Latitude 3520,,Maintenance,"Network Ready, Duplex Printing",New
DES-598186804,Desktop,Dell,Veriton M,,Available,"32GB RAM, 1TB SSD, Intel Core i9",New
PRO-598187733,Projector,Optoma,EB-X05,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
TAB-598188904,Tablet,Huawei,MatePad,,Available,"13.3 inch Display, 128GB Storage",New
DES-598189286,Desktop,Lenovo,EliteDesk 800,,Available,"10.1 inch Display, 64GB Storage",New
PRO-598190189,Projector,BenQ,MH550,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-598191104,Desktop,Lenovo,OptiPlex 3080,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-598192626,Tablet,Lenovo,Galaxy Tab A8,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-598193370,Projector,Optoma,HD146X,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Good
LAP-598194107,Laptop,Dell,Aspire 5,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
LAP-598195605,Laptop,HP,ThinkPad E14,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
PRO-598196482,Projector,ViewSonic,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-598197324,Others,HP,Webcam C920,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Fair
PRO-598198114,Projector,Optoma,PA503W,,Available,"Network Ready, Duplex Printing",Good
PRO-598199570,Projector,Optoma,HD146X,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-598200650,Desktop,Dell,OptiPlex 3080,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Good
DES-598201311,Desktop,HP,EliteDesk 800,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
OTH-598202110,Others,Brother,Webcam C920,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-598203536,Laptop,Dell,ProBook 450,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-598204399,Others,Brother,DCP-L2550DW,,Maintenance,"13.3 inch Display, 128GB Storage",Good
TAB-598205836,Tablet,Apple,Tab M10,,Maintenance,"13.3 inch Display, 128GB Storage",New
OTH-598206095,Others,Canon,Printer MF445dw,,Available,"Network Ready, Duplex Printing",New
LAP-598207351,Laptop,ASUS,ThinkPad E14,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
OTH-598208886,Others,Logitech,Webcam C920,,Available,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-598209447,Laptop,HP,Latitude 3520,,Available,"8GB RAM, 1TB HDD, AMD Ryzen 5",New
DES-598210143,Desktop,HP,OptiPlex 3080,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-598211163,Tablet,Lenovo,MatePad,,Available,"10.1 inch Display, 64GB Storage",New
LAP-598212616,Laptop,Acer,VivoBook 15,,Maintenance,"3000 Lumens, HDMI, VGA",New
TAB-598213628,Tablet,Lenovo,MatePad,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",Good
DES-598214616,Desktop,Dell,EliteDesk 800,,Available,"4000 Lumens, Wireless",Fair
OTH-598215320,Others,Logitech,DCP-L2550DW,,Available,"13.3 inch Display, 128GB Storage",Good
DES-598216984,Desktop,Lenovo,EliteDesk 800,,Maintenance,"4000 Lumens, Wireless",New
LAP-598217988,Laptop,Lenovo,ProBook 450,,Available,"10.1 inch Display, 64GB Storage",New
LAP-598218676,Laptop,Dell,Aspire 5,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
TAB-598219868,Tablet,Huawei,iPad 9th Gen,,Maintenance,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-598220820,Projector,Optoma,PA503W,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-598221089,Desktop,Dell,EliteDesk 800,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Fair
LAP-598222990,Laptop,ASUS,Latitude 3520,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
OTH-598223156,Others,HP,Printer MF445dw,,Available,"4GB RAM, 128GB SSD, Intel Core i3",Fair
LAP-598224795,Laptop,ASUS,ProBook 450,,Available,"Network Ready, Duplex Printing",Good
DES-598225292,Desktop,Acer,Veriton M,,Maintenance,"10.1 inch Display, 64GB Storage",Good
DES-598226535,Desktop,Lenovo,Veriton M,,Maintenance,"13.3 inch Display, 128GB Storage",Good
PRO-598227723,Projector,Epson,HD146X,,Maintenance,"3000 Lumens, HDMI, VGA",Good
OTH-598228846,Others,Canon,Printer MF445dw,,Maintenance,"3000 Lumens, HDMI, VGA",Good
LAP-598229002,Laptop,ASUS,ThinkPad E14,,Maintenance,"4000 Lumens, Wireless",Good
OTH-598230778,Others,Brother,DCP-L2550DW,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Good
DES-598231084,Desktop,HP,OptiPlex 3080,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Fair
PRO-598232636,Projector,BenQ,PA503W,,Available,"13.3 inch Display, 128GB Storage",Fair
TAB-598233836,Tablet,Samsung,Galaxy Tab A8,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",New
LAP-598234063,Laptop,HP,Aspire 5,,Available,"8GB RAM, 256GB SSD, Intel Core i5",Fair
PRO-598235495,Projector,BenQ,HD146X,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-598236303,Others,HP,DCP-L2550DW,,Available,"13.3 inch Display, 128GB Storage",Fair
OTH-598237628,Others,Logitech,LaserJet Pro,,Maintenance,"4000 Lumens, Wireless",Good
OTH-598238772,Others,Logitech,LaserJet Pro,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
DES-598239654,Desktop,HP,OptiPlex 3080,,Available,"Network Ready, Duplex Printing",New
PRO-598240706,Projector,Epson,EB-X05,,Maintenance,"Network Ready, Duplex Printing",Good
PRO-598241278,Projector,BenQ,HD146X,,Maintenance,"4GB RAM, 128GB SSD, Intel Core i3",New
PRO-598242795,Projector,Epson,PA503W,,Available,"3000 Lumens, HDMI, VGA",Fair
OTH-598243687,Others,Canon,Printer MF445dw,,Maintenance,"10.1 inch Display, 64GB Storage",Fair
LAP-598244309,Laptop,HP,ProBook 450,,Available,"32GB RAM, 1TB SSD, Intel Core i9",Good
OTH-598245152,Others,HP,LaserJet Pro,,Available,"8GB RAM, 256GB SSD, Intel Core i5",New
LAP-598246039,Laptop,Lenovo,Aspire 5,,Maintenance,"4000 Lumens, Wireless",Good
PRO-598247169,Projector,BenQ,HD146X,,Available,"10.1 inch Display, 64GB Storage",Good
OTH-598248645,Others,HP,Printer MF445dw,,Available,"13.3 inch Display, 128GB Storage",New
DES-598249241,Desktop,HP,Veriton M,,Available,"16GB RAM, 512GB SSD, Intel Core i7",Fair
DES-598250546,Desktop,Dell,Veriton M,,Available,"Network Ready, Duplex Printing",New
PRO-598251694,Projector,Optoma,MH550,,Maintenance,"10.1 inch Display, 64GB Storage",New
OTH-598252917,Others,Logitech,Printer MF445dw,,Maintenance,"16GB RAM, 512GB SSD, Intel Core i7",Fair
LAP-598253744,Laptop,Acer,ThinkPad E14,,Available,"Network Ready, Duplex Printing",New
LAP-598254279,Laptop,Acer,Aspire 5,,Maintenance,"8GB RAM, 1TB HDD, AMD Ryzen 5",Good
LAP-598255654,Laptop,Lenovo,Aspire 5,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",New
DES-598256486,Desktop,Dell,Veriton M,,Maintenance,"3000 Lumens, HDMI, VGA",Fair
TAB-598257728,Tablet,Lenovo,Galaxy Tab A8,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
TAB-598258738,Tablet,Apple,Galaxy Tab A8,,Available,"13.3 inch Display, 128GB Storage",New
TAB-598259424,Tablet,Huawei,Galaxy Tab A8,,Maintenance,"32GB RAM, 1TB SSD, Intel Core i9",Good
