schoolCode,schoolName,category,province,district,sector,cell,village,email,phoneNumber,representativeEmail,status
SCH00025,Test School 25,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school25@testschool.rw,+25078000025,,Inactive
SCH00026,Test School 26,Other,Eastern Province,Nyagatare,Sector 7,Cell 7,Village 12,school26@testschool.rw,+25078000026,,Active
SCH00027,Test School 27,TSS,Western Province,Rutsiro,Sector 8,Cell 8,Village 13,school27@testschool.rw,+25078000027,,Inactive
SCH00028,Test School 28,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school28@testschool.rw,+25078000028,,Active
SCH00029,Test School 29,Other,Southern Province,Nyanza,Sector 10,Cell 10,Village 15,school29@testschool.rw,+25078000029,,Inactive
SCH00030,Test School 30,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school30@testschool.rw,+25078000030,,Active
SCH00031,Test School 31,VTC,Eastern Province,Kirehe,Sector 12,Cell 2,Village 2,school31@testschool.rw,+25078000031,,Inactive
SCH00032,Test School 32,Other,Western Province,Rubavu,Sector 13,Cell 3,Village 3,school32@testschool.rw,+25078000032,,Active
SCH00033,Test School 33,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school33@testschool.rw,+25078000033,,Inactive
SCH00034,Test School 34,VTC,Southern Province,Kamonyi,Sector 15,Cell 5,Village 5,school34@testschool.rw,+25078000034,,Active
SCH00035,Test School 35,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school35@testschool.rw,+25078000035,,Inactive
SCH00036,Test School 36,TSS,Eastern Province,Gatsibo,Sector 17,Cell 7,Village 7,school36@testschool.rw,+25078000036,,Active
SCH00037,Test School 37,VTC,Western Province,Nyabihu,Sector 18,Cell 8,Village 8,school37@testschool.rw,+25078000037,,Inactive
SCH00038,Test School 38,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school38@testschool.rw,+25078000038,,Active
SCH00039,Test School 39,TSS,Southern Province,Ruhango,Sector 20,Cell 10,Village 10,school39@testschool.rw,+25078000039,,Inactive
SCH00040,Test School 40,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school40@testschool.rw,+25078000040,,Active
SCH00041,Test School 41,Other,Eastern Province,Rwamagana,Sector 2,Cell 2,Village 12,school41@testschool.rw,+25078000041,,Inactive
SCH00042,Test School 42,TSS,Western Province,Karongi,Sector 3,Cell 3,Village 13,school42@testschool.rw,+25078000042,,Active
SCH00043,Test School 43,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school43@testschool.rw,+25078000043,,Inactive
SCH00044,Test School 44,Other,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 15,school44@testschool.rw,+25078000044,,Active
SCH00045,Test School 45,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school45@testschool.rw,+25078000045,,Inactive
SCH00046,Test School 46,VTC,Eastern Province,Ngoma,Sector 7,Cell 7,Village 2,school46@testschool.rw,+25078000046,,Active
SCH00047,Test School 47,Other,Western Province,Rusizi,Sector 8,Cell 8,Village 3,school47@testschool.rw,+25078000047,,Inactive
SCH00048,Test School 48,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school48@testschool.rw,+25078000048,,Active
SCH00049,Test School 49,VTC,Southern Province,Huye,Sector 10,Cell 10,Village 5,school49@testschool.rw,+25078000049,,Inactive
SCH00050,Test School 50,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school50@testschool.rw,+25078000050,,Active
SCH00051,Test School 51,TSS,Eastern Province,Kayonza,Sector 12,Cell 2,Village 7,school51@testschool.rw,+25078000051,,Inactive
SCH00052,Test School 52,VTC,Western Province,Nyamasheke,Sector 13,Cell 3,Village 8,school52@testschool.rw,+25078000052,,Active
SCH00053,Test School 53,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school53@testschool.rw,+25078000053,,Inactive
SCH00054,Test School 54,TSS,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 10,school54@testschool.rw,+25078000054,,Active
SCH00055,Test School 55,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school55@testschool.rw,+25078000055,,Inactive
SCH00056,Test School 56,Other,Eastern Province,Bugesera,Sector 17,Cell 7,Village 12,school56@testschool.rw,+25078000056,,Active
SCH00057,Test School 57,TSS,Western Province,Ngororero,Sector 18,Cell 8,Village 13,school57@testschool.rw,+25078000057,,Inactive
SCH00058,Test School 58,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school58@testschool.rw,+25078000058,,Active
SCH00059,Test School 59,Other,Southern Province,Muhanga,Sector 20,Cell 10,Village 15,school59@testschool.rw,+25078000059,,Inactive
SCH00060,Test School 60,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school60@testschool.rw,+25078000060,,Active
SCH00061,Test School 61,VTC,Eastern Province,Nyagatare,Sector 2,Cell 2,Village 2,school61@testschool.rw,+25078000061,,Inactive
SCH00062,Test School 62,Other,Western Province,Rutsiro,Sector 3,Cell 3,Village 3,school62@testschool.rw,+25078000062,,Active
SCH00063,Test School 63,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school63@testschool.rw,+25078000063,,Inactive
SCH00064,Test School 64,VTC,Southern Province,Gisagara,Sector 5,Cell 5,Village 5,school64@testschool.rw,+25078000064,,Active
SCH00065,Test School 65,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school65@testschool.rw,+25078000065,,Inactive
SCH00066,Test School 66,TSS,Eastern Province,Kirehe,Sector 7,Cell 7,Village 7,school66@testschool.rw,+25078000066,,Active
SCH00067,Test School 67,VTC,Western Province,Rubavu,Sector 8,Cell 8,Village 8,school67@testschool.rw,+25078000067,,Inactive
SCH00068,Test School 68,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school68@testschool.rw,+25078000068,,Active
SCH00069,Test School 69,TSS,Southern Province,Nyanza,Sector 10,Cell 10,Village 10,school69@testschool.rw,+25078000069,,Inactive
SCH00070,Test School 70,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school70@testschool.rw,+25078000070,,Active
SCH00071,Test School 71,Other,Eastern Province,Gatsibo,Sector 12,Cell 2,Village 12,school71@testschool.rw,+25078000071,,Inactive
SCH00072,Test School 72,TSS,Western Province,Nyabihu,Sector 13,Cell 3,Village 13,school72@testschool.rw,+25078000072,,Active
SCH00073,Test School 73,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school73@testschool.rw,+25078000073,,Inactive
SCH00074,Test School 74,Other,Southern Province,Kamonyi,Sector 15,Cell 5,Village 15,school74@testschool.rw,+25078000074,,Active
SCH00075,Test School 75,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school75@testschool.rw,+25078000075,,Inactive
SCH00076,Test School 76,VTC,Eastern Province,Rwamagana,Sector 17,Cell 7,Village 2,school76@testschool.rw,+25078000076,,Active
SCH00077,Test School 77,Other,Western Province,Karongi,Sector 18,Cell 8,Village 3,school77@testschool.rw,+25078000077,,Inactive
SCH00078,Test School 78,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school78@testschool.rw,+25078000078,,Active
SCH00079,Test School 79,VTC,Southern Province,Ruhango,Sector 20,Cell 10,Village 5,school79@testschool.rw,+25078000079,,Inactive
SCH00080,Test School 80,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school80@testschool.rw,+25078000080,,Active
SCH00081,Test School 81,TSS,Eastern Province,Ngoma,Sector 2,Cell 2,Village 7,school81@testschool.rw,+25078000081,,Inactive
SCH00082,Test School 82,VTC,Western Province,Rusizi,Sector 3,Cell 3,Village 8,school82@testschool.rw,+25078000082,,Active
SCH00083,Test School 83,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school83@testschool.rw,+25078000083,,Inactive
SCH00084,Test School 84,TSS,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 10,school84@testschool.rw,+25078000084,,Active
SCH00085,Test School 85,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school85@testschool.rw,+25078000085,,Inactive
SCH00086,Test School 86,Other,Eastern Province,Kayonza,Sector 7,Cell 7,Village 12,school86@testschool.rw,+25078000086,,Active
SCH00087,Test School 87,TSS,Western Province,Nyamasheke,Sector 8,Cell 8,Village 13,school87@testschool.rw,+25078000087,,Inactive
SCH00088,Test School 88,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school88@testschool.rw,+25078000088,,Active
SCH00089,Test School 89,Other,Southern Province,Huye,Sector 10,Cell 10,Village 15,school89@testschool.rw,+25078000089,,Inactive
SCH00090,Test School 90,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school90@testschool.rw,+25078000090,,Active
SCH00091,Test School 91,VTC,Eastern Province,Bugesera,Sector 12,Cell 2,Village 2,school91@testschool.rw,+25078000091,,Inactive
SCH00092,Test School 92,Other,Western Province,Ngororero,Sector 13,Cell 3,Village 3,school92@testschool.rw,+25078000092,,Active
SCH00093,Test School 93,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school93@testschool.rw,+25078000093,,Inactive
SCH00094,Test School 94,VTC,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 5,school94@testschool.rw,+25078000094,,Active
SCH00095,Test School 95,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school95@testschool.rw,+25078000095,,Inactive
SCH00096,Test School 96,TSS,Eastern Province,Nyagatare,Sector 17,Cell 7,Village 7,school96@testschool.rw,+25078000096,,Active
SCH00097,Test School 97,VTC,Western Province,Rutsiro,Sector 18,Cell 8,Village 8,school97@testschool.rw,+25078000097,,Inactive
SCH00098,Test School 98,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school98@testschool.rw,+25078000098,,Active
SCH00099,Test School 99,TSS,Southern Province,Muhanga,Sector 20,Cell 10,Village 10,school99@testschool.rw,+25078000099,,Inactive
SCH00100,Test School 100,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school100@testschool.rw,+25078000100,,Active
SCH00101,Test School 101,Other,Eastern Province,Kirehe,Sector 2,Cell 2,Village 12,school101@testschool.rw,+25078000101,,Inactive
SCH00102,Test School 102,TSS,Western Province,Rubavu,Sector 3,Cell 3,Village 13,school102@testschool.rw,+25078000102,,Active
SCH00103,Test School 103,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school103@testschool.rw,+25078000103,,Inactive
SCH00104,Test School 104,Other,Southern Province,Gisagara,Sector 5,Cell 5,Village 15,school104@testschool.rw,+25078000104,,Active
SCH00105,Test School 105,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school105@testschool.rw,+25078000105,,Inactive
SCH00106,Test School 106,VTC,Eastern Province,Gatsibo,Sector 7,Cell 7,Village 2,school106@testschool.rw,+25078000106,,Active
SCH00107,Test School 107,Other,Western Province,Nyabihu,Sector 8,Cell 8,Village 3,school107@testschool.rw,+25078000107,,Inactive
SCH00108,Test School 108,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school108@testschool.rw,+25078000108,,Active
SCH00109,Test School 109,VTC,Southern Province,Nyanza,Sector 10,Cell 10,Village 5,school109@testschool.rw,+25078000109,,Inactive
SCH00110,Test School 110,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school110@testschool.rw,+25078000110,,Active
SCH00111,Test School 111,TSS,Eastern Province,Rwamagana,Sector 12,Cell 2,Village 7,school111@testschool.rw,+25078000111,,Inactive
SCH00112,Test School 112,VTC,Western Province,Karongi,Sector 13,Cell 3,Village 8,school112@testschool.rw,+25078000112,,Active
SCH00113,Test School 113,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school113@testschool.rw,+25078000113,,Inactive
SCH00114,Test School 114,TSS,Southern Province,Kamonyi,Sector 15,Cell 5,Village 10,school114@testschool.rw,+25078000114,,Active
SCH00115,Test School 115,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school115@testschool.rw,+25078000115,,Inactive
SCH00116,Test School 116,Other,Eastern Province,Ngoma,Sector 17,Cell 7,Village 12,school116@testschool.rw,+25078000116,,Active
SCH00117,Test School 117,TSS,Western Province,Rusizi,Sector 18,Cell 8,Village 13,school117@testschool.rw,+25078000117,,Inactive
SCH00118,Test School 118,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school118@testschool.rw,+25078000118,,Active
SCH00119,Test School 119,Other,Southern Province,Ruhango,Sector 20,Cell 10,Village 15,school119@testschool.rw,+25078000119,,Inactive
SCH00120,Test School 120,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school120@testschool.rw,+25078000120,,Active
SCH00121,Test School 121,VTC,Eastern Province,Kayonza,Sector 2,Cell 2,Village 2,school121@testschool.rw,+25078000121,,Inactive
SCH00122,Test School 122,Other,Western Province,Nyamasheke,Sector 3,Cell 3,Village 3,school122@testschool.rw,+25078000122,,Active
SCH00123,Test School 123,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school123@testschool.rw,+25078000123,,Inactive
SCH00124,Test School 124,VTC,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 5,school124@testschool.rw,+25078000124,,Active
SCH00125,Test School 125,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school125@testschool.rw,+25078000125,,Inactive
SCH00126,Test School 126,TSS,Eastern Province,Bugesera,Sector 7,Cell 7,Village 7,school126@testschool.rw,+25078000126,,Active
SCH00127,Test School 127,VTC,Western Province,Ngororero,Sector 8,Cell 8,Village 8,school127@testschool.rw,+25078000127,,Inactive
SCH00128,Test School 128,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school128@testschool.rw,+25078000128,,Active
SCH00129,Test School 129,TSS,Southern Province,Huye,Sector 10,Cell 10,Village 10,school129@testschool.rw,+25078000129,,Inactive
SCH00130,Test School 130,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school130@testschool.rw,+25078000130,,Active
SCH00131,Test School 131,Other,Eastern Province,Nyagatare,Sector 12,Cell 2,Village 12,school131@testschool.rw,+25078000131,,Inactive
SCH00132,Test School 132,TSS,Western Province,Rutsiro,Sector 13,Cell 3,Village 13,school132@testschool.rw,+25078000132,,Active
SCH00133,Test School 133,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school133@testschool.rw,+25078000133,,Inactive
SCH00134,Test School 134,Other,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 15,school134@testschool.rw,+25078000134,,Active
SCH00135,Test School 135,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school135@testschool.rw,+25078000135,,Inactive
SCH00136,Test School 136,VTC,Eastern Province,Kirehe,Sector 17,Cell 7,Village 2,school136@testschool.rw,+25078000136,,Active
SCH00137,Test School 137,Other,Western Province,Rubavu,Sector 18,Cell 8,Village 3,school137@testschool.rw,+25078000137,,Inactive
SCH00138,Test School 138,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school138@testschool.rw,+25078000138,,Active
SCH00139,Test School 139,VTC,Southern Province,Muhanga,Sector 20,Cell 10,Village 5,school139@testschool.rw,+25078000139,,Inactive
SCH00140,Test School 140,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school140@testschool.rw,+25078000140,,Active
SCH00141,Test School 141,TSS,Eastern Province,Gatsibo,Sector 2,Cell 2,Village 7,school141@testschool.rw,+25078000141,,Inactive
SCH00142,Test School 142,VTC,Western Province,Nyabihu,Sector 3,Cell 3,Village 8,school142@testschool.rw,+25078000142,,Active
SCH00143,Test School 143,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school143@testschool.rw,+25078000143,,Inactive
SCH00144,Test School 144,TSS,Southern Province,Gisagara,Sector 5,Cell 5,Village 10,school144@testschool.rw,+25078000144,,Active
SCH00145,Test School 145,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school145@testschool.rw,+25078000145,,Inactive
SCH00146,Test School 146,Other,Eastern Province,Rwamagana,Sector 7,Cell 7,Village 12,school146@testschool.rw,+25078000146,,Active
SCH00147,Test School 147,TSS,Western Province,Karongi,Sector 8,Cell 8,Village 13,school147@testschool.rw,+25078000147,,Inactive
SCH00148,Test School 148,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school148@testschool.rw,+25078000148,,Active
SCH00149,Test School 149,Other,Southern Province,Nyanza,Sector 10,Cell 10,Village 15,school149@testschool.rw,+25078000149,,Inactive
SCH00150,Test School 150,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school150@testschool.rw,+25078000150,,Active
SCH00151,Test School 151,VTC,Eastern Province,Ngoma,Sector 12,Cell 2,Village 2,school151@testschool.rw,+25078000151,,Inactive
SCH00152,Test School 152,Other,Western Province,Rusizi,Sector 13,Cell 3,Village 3,school152@testschool.rw,+25078000152,,Active
SCH00153,Test School 153,TSS,Northern Province,Musanze,Sector 14,Cell 4,Village 4,school153@testschool.rw,+25078000153,,Inactive
SCH00154,Test School 154,VTC,Southern Province,Kamonyi,Sector 15,Cell 5,Village 5,school154@testschool.rw,+25078000154,,Active
SCH00155,Test School 155,Other,Kigali City,Nyarugenge,Sector 16,Cell 6,Village 6,school155@testschool.rw,+25078000155,,Inactive
SCH00156,Test School 156,TSS,Eastern Province,Kayonza,Sector 17,Cell 7,Village 7,school156@testschool.rw,+25078000156,,Active
SCH00157,Test School 157,VTC,Western Province,Nyamasheke,Sector 18,Cell 8,Village 8,school157@testschool.rw,+25078000157,,Inactive
SCH00158,Test School 158,Other,Northern Province,Musanze,Sector 19,Cell 9,Village 9,school158@testschool.rw,+25078000158,,Active
SCH00159,Test School 159,TSS,Southern Province,Ruhango,Sector 20,Cell 10,Village 10,school159@testschool.rw,+25078000159,,Inactive
SCH00160,Test School 160,VTC,Kigali City,Kicukiro,Sector 1,Cell 1,Village 11,school160@testschool.rw,+25078000160,,Active
SCH00161,Test School 161,Other,Eastern Province,Bugesera,Sector 2,Cell 2,Village 12,school161@testschool.rw,+25078000161,,Inactive
SCH00162,Test School 162,TSS,Western Province,Ngororero,Sector 3,Cell 3,Village 13,school162@testschool.rw,+25078000162,,Active
SCH00163,Test School 163,VTC,Northern Province,Musanze,Sector 4,Cell 4,Village 14,school163@testschool.rw,+25078000163,,Inactive
SCH00164,Test School 164,Other,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 15,school164@testschool.rw,+25078000164,,Active
SCH00165,Test School 165,TSS,Kigali City,Gasabo,Sector 6,Cell 6,Village 1,school165@testschool.rw,+25078000165,,Inactive
SCH00166,Test School 166,VTC,Eastern Province,Nyagatare,Sector 7,Cell 7,Village 2,school166@testschool.rw,+25078000166,,Active
SCH00167,Test School 167,Other,Western Province,Rutsiro,Sector 8,Cell 8,Village 3,school167@testschool.rw,+25078000167,,Inactive
SCH00168,Test School 168,TSS,Northern Province,Musanze,Sector 9,Cell 9,Village 4,school168@testschool.rw,+25078000168,,Active
SCH00169,Test School 169,VTC,Southern Province,Huye,Sector 10,Cell 10,Village 5,school169@testschool.rw,+25078000169,,Inactive
SCH00170,Test School 170,Other,Kigali City,Nyarugenge,Sector 11,Cell 1,Village 6,school170@testschool.rw,+25078000170,,Active
SCH00171,Test School 171,TSS,Eastern Province,Kirehe,Sector 12,Cell 2,Village 7,school171@testschool.rw,+25078000171,,Inactive
SCH00172,Test School 172,VTC,Western Province,Rubavu,Sector 13,Cell 3,Village 8,school172@testschool.rw,+25078000172,,Active
SCH00173,Test School 173,Other,Northern Province,Musanze,Sector 14,Cell 4,Village 9,school173@testschool.rw,+25078000173,,Inactive
SCH00174,Test School 174,TSS,Southern Province,Nyaruguru,Sector 15,Cell 5,Village 10,school174@testschool.rw,+25078000174,,Active
SCH00175,Test School 175,VTC,Kigali City,Kicukiro,Sector 16,Cell 6,Village 11,school175@testschool.rw,+25078000175,,Inactive
SCH00176,Test School 176,Other,Eastern Province,Gatsibo,Sector 17,Cell 7,Village 12,school176@testschool.rw,+25078000176,,Active
SCH00177,Test School 177,TSS,Western Province,Nyabihu,Sector 18,Cell 8,Village 13,school177@testschool.rw,+25078000177,,Inactive
SCH00178,Test School 178,VTC,Northern Province,Musanze,Sector 19,Cell 9,Village 14,school178@testschool.rw,+25078000178,,Active
SCH00179,Test School 179,Other,Southern Province,Muhanga,Sector 20,Cell 10,Village 15,school179@testschool.rw,+25078000179,,Inactive
SCH00180,Test School 180,TSS,Kigali City,Gasabo,Sector 1,Cell 1,Village 1,school180@testschool.rw,+25078000180,,Active
SCH00181,Test School 181,VTC,Eastern Province,Rwamagana,Sector 2,Cell 2,Village 2,school181@testschool.rw,+25078000181,,Inactive
SCH00182,Test School 182,Other,Western Province,Karongi,Sector 3,Cell 3,Village 3,school182@testschool.rw,+25078000182,,Active
SCH00183,Test School 183,TSS,Northern Province,Musanze,Sector 4,Cell 4,Village 4,school183@testschool.rw,+25078000183,,Inactive
SCH00184,Test School 184,VTC,Southern Province,Gisagara,Sector 5,Cell 5,Village 5,school184@testschool.rw,+25078000184,,Active
SCH00185,Test School 185,Other,Kigali City,Nyarugenge,Sector 6,Cell 6,Village 6,school185@testschool.rw,+25078000185,,Inactive
SCH00186,Test School 186,TSS,Eastern Province,Ngoma,Sector 7,Cell 7,Village 7,school186@testschool.rw,+25078000186,,Active
SCH00187,Test School 187,VTC,Western Province,Rusizi,Sector 8,Cell 8,Village 8,school187@testschool.rw,+25078000187,,Inactive
SCH00188,Test School 188,Other,Northern Province,Musanze,Sector 9,Cell 9,Village 9,school188@testschool.rw,+25078000188,,Active
SCH00189,Test School 189,TSS,Southern Province,Nyanza,Sector 10,Cell 10,Village 10,school189@testschool.rw,+25078000189,,Inactive
SCH00190,Test School 190,VTC,Kigali City,Kicukiro,Sector 11,Cell 1,Village 11,school190@testschool.rw,+25078000190,,Active
SCH00191,Test School 191,Other,Eastern Province,Kayonza,Sector 12,Cell 2,Village 12,school191@testschool.rw,+25078000191,,Inactive
SCH00192,Test School 192,TSS,Western Province,Nyamasheke,Sector 13,Cell 3,Village 13,school192@testschool.rw,+25078000192,,Active
SCH00193,Test School 193,VTC,Northern Province,Musanze,Sector 14,Cell 4,Village 14,school193@testschool.rw,+25078000193,,Inactive
SCH00194,Test School 194,Other,Southern Province,Kamonyi,Sector 15,Cell 5,Village 15,school194@testschool.rw,+25078000194,,Active
SCH00195,Test School 195,TSS,Kigali City,Gasabo,Sector 16,Cell 6,Village 1,school195@testschool.rw,+25078000195,,Inactive
SCH00196,Test School 196,VTC,Eastern Province,Bugesera,Sector 17,Cell 7,Village 2,school196@testschool.rw,+25078000196,,Active
SCH00197,Test School 197,Other,Western Province,Ngororero,Sector 18,Cell 8,Village 3,school197@testschool.rw,+25078000197,,Inactive
SCH00198,Test School 198,TSS,Northern Province,Musanze,Sector 19,Cell 9,Village 4,school198@testschool.rw,+25078000198,,Active
SCH00199,Test School 199,VTC,Southern Province,Ruhango,Sector 20,Cell 10,Village 5,school199@testschool.rw,+25078000199,,Inactive
SCH00200,Test School 200,Other,Kigali City,Nyarugenge,Sector 1,Cell 1,Village 6,school200@testschool.rw,+25078000200,,Active
SCH00201,Test School 201,TSS,Eastern Province,Nyagatare,Sector 2,Cell 2,Village 7,school201@testschool.rw,+25078000201,,Inactive
SCH00202,Test School 202,VTC,Western Province,Rutsiro,Sector 3,Cell 3,Village 8,school202@testschool.rw,+25078000202,,Active
SCH00203,Test School 203,Other,Northern Province,Musanze,Sector 4,Cell 4,Village 9,school203@testschool.rw,+25078000203,,Inactive
SCH00204,Test School 204,TSS,Southern Province,Nyamagabe,Sector 5,Cell 5,Village 10,school204@testschool.rw,+25078000204,,Active
SCH00205,Test School 205,VTC,Kigali City,Kicukiro,Sector 6,Cell 6,Village 11,school205@testschool.rw,+25078000205,,Inactive
SCH00206,Test School 206,Other,Eastern Province,Kirehe,Sector 7,Cell 7,Village 12,school206@testschool.rw,+25078000206,,Active
SCH00207,Test School 207,TSS,Western Province,Rubavu,Sector 8,Cell 8,Village 13,school207@testschool.rw,+25078000207,,Inactive
SCH00208,Test School 208,VTC,Northern Province,Musanze,Sector 9,Cell 9,Village 14,school208@testschool.rw,+25078000208,,Active
SCH00209,Test School 209,Other,Southern Province,Huye,Sector 10,Cell 10,Village 15,school209@testschool.rw,+25078000209,,Inactive
SCH00210,Test School 210,TSS,Kigali City,Gasabo,Sector 11,Cell 1,Village 1,school210@testschool.rw,+25078000210,,Active
SCH00211,Test School 211,VTC,Eastern Province,Gatsibo,Sector 12,Cell 2,Village 2,school211@testschool.rw,+25078000211,,Inactive
